Namn;Popularitet;Trend;Stavelser;Hardhet;Ursprung
Emil;0,61;-11,36%;2;0%;0
Arvid;0,57;-3,12%;2;0%;0
Anton;0,54;-14,41%;2;20%;0
Nils;0,52;4,06%;1;25%;0
Alfred;0,52;2,74%;2;17%;0
Olle;0,52;-3,60%;2;0%;0
Albin;0,5;-9,07%;2;0%;0
Gustav;0,46;-8,18%;2;33%;0
Erik;0,46;-12,87%;2;25%;0
Filip;0,43;-8,43%;2;40%;0
Sixten;0,41;2,14%;2;50%;0
Melvin;0,4;-8,22%;2;0%;0
Viggo;0,39;-7,51%;2;0%;0
Melker;0,38;-0,15%;2;17%;0
Oskar;0,37;-7,36%;2;40%;0
Viktor;0,36;-11,62%;2;33%;0
Malte;0,36;-0,48%;2;20%;0
Alvin;0,34;-14,36%;2;0%;0
Rasmus;0,28;-20,47%;2;33%;0
Linus;0,27;-20,96%;2;20%;0
Loke;0,26;8,14%;2;25%;0
Ebbe;0,26;18,38%;2;0%;0
Vidar;0,25;10,99%;2;0%;0
Sigge;0,24;7,40%;2;20%;0
Henry;0,21;21,75%;2;0%;0
Hampus;0,19;-15,55%;2;33%;0
Tage;0,19;12,80%;2;25%;0
Hjalmar;0,19;5,15%;2;0%;0
Ivar;0,18;8,78%;2;0%;0
Ville;0,17;-11,88%;2;0%;0
Vilmer;0,16;-12,86%;2;0%;0
Svante;0,15;-2,68%;2;33%;0
Algot;0,14;2,50%;2;20%;0
Wilhelm;0,14;-1,46%;2;14%;0
Frans;0,13;19,38%;1;40%;0
Hannes;0,13;-12,84%;2;17%;0
Folke;0,12;15,43%;2;40%;0
Ture;0,12;3,89%;2;25%;0
Måns;0,12;-17,55%;1;25%;0
Johannes;0,11;-9,96%;3;13%;0
Vide;0,11;11,14%;2;0%;0
Alvar;0,11;6,37%;2;0%;0
Ossian;0,09;-1,39%;3;33%;0
Olof;0,09;4,40%;2;25%;0
Alve;0,09;10,51%;2;0%;0
Vilhelm;0,09;2,28%;2;0%;0
Knut;0,08;9,29%;1;50%;0
Pontus;0,08;-18,49%;2;50%;0
Johan;0,08;-18,35%;2;0%;0
Gustaf;0,07;-6,66%;2;50%;0
Eskil;0,07;-2,01%;2;40%;0
Jesper;0,07;-20,98%;2;33%;0
Einar;0,07;3,77%;3;0%;0
Valdemar;0,07;-1,61%;3;0%;0
Tor;0,06;1,89%;1;33%;0
Pelle;0,06;-1,69%;2;20%;0
Mille;0,06;-7,50%;2;0%;0
Henning;0,06;11,74%;2;0%;0
Holger;0,06;6,69%;2;0%;0
Ian;0,06;2,88%;2;0%;0
Wiggo;0,05;-8,08%;2;20%;0
Kalle;0,05;-8,48%;2;20%;0
Mikael;0,05;-2,55%;3;17%;0
Jonatan;0,05;-17,95%;3;14%;0
Bo;0,05;22,49%;1;0%;0
Björn;0,05;8,79%;1;0%;0
Gunnar;0,05;13,86%;2;0%;0
Harald;0,05;8,50%;2;0%;0
Helmer;0,05;7,88%;2;0%;0
Wilgot;0,04;6,00%;2;33%;0
Markus;0,04;-13,84%;2;33%;0
Tore;0,04;8,44%;2;25%;0
Frej;0,04;22,53%;1;25%;0
Sven;0,04;13,24%;1;25%;0
Manfred;0,04;12,87%;2;14%;0
Andreas;0,04;-14,21%;3;14%;0
Hilding;0,04;10,86%;2;0%;0
Stefan;0,03;3,78%;2;50%;0
Mattis;0,03;-3,21%;2;50%;0
Petter;0,03;-16,46%;2;50%;0
Christoffer;0,03;-17,89%;3;45%;0
Bosse;0,03;21,70%;2;40%;0
Assar;0,03;7,17%;2;40%;0
Kristian;0,03;-4,58%;3;38%;0
Tobias;0,03;-19,25%;3;33%;0
Åke;0,03;6,64%;2;33%;0
Fredrik;0,03;-16,11%;2;29%;0
Cornelis;0,03;13,52%;3;25%;0
Bertil;0,03;21,92%;2;17%;0
Didrik;0,03;-4,63%;2;17%;0
Konrad;0,03;-6,73%;2;17%;0
Henrik;0,03;-8,77%;2;17%;0
Lo;0,03;16,19%;1;0%;0
Vilde;0,03;4,90%;2;0%;0
Loa;0,03;19,02%;2;0%;0
Jon;0,03;4,39%;1;0%;0
Stig;0,02;9,44%;1;50%;0
Wiktor;0,02;-1,63%;2;50%;0
Patrik;0,02;-9,28%;2;50%;0
Gösta;0,02;5,97%;2;40%;0
Sture;0,02;2,22%;2;40%;0
Truls;0,02;4,51%;1;40%;0
Gusten;0,02;8,24%;2;33%;0
Moltas;0,02;-0,62%;2;33%;0
Niklas;0,02;-7,23%;2;33%;0
Kim;0,02;-14,58%;1;33%;0
Stellan;0,02;16,34%;2;29%;0
Finn;0,02;22,33%;1;25%;0
Birk;0,02;8,12%;1;25%;0
Lars;0,02;8,35%;1;25%;0
Sune;0,02;8,15%;2;25%;0
Atle;0,02;3,19%;2;25%;0
Calle;0,02;-17,47%;2;20%;0
Viking;0,02;7,27%;2;17%;0
Marius;0,02;-2,19%;3;17%;0
Agaton;0,02;-5,48%;3;17%;0
Joakim;0,02;-14,05%;3;17%;0
Sigvard;0,02;21,77%;2;14%;0
Waldemar;0,02;11,15%;3;13%;0
Uno;0,02;8,67%;2;0%;0
Odin;0,02;15,07%;2;0%;0
Grim;0,02;7,09%;1;0%;0
Valle;0,02;6,06%;2;0%;0
Hilmer;0,02;13,99%;2;0%;0
Bror;0,02;19,58%;1;0%;0
Ragnar;0,02;23,37%;2;0%;0
Dag;0,02;15,21%;1;0%;0
Jan;0,02;9,01%;1;0%;0
Egon;0,02;-2,65%;2;0%;0
Kristoffer;0,01;-25,28%;3;50%;0
Torsten;0,01;13,27%;2;43%;0
Aksel;0,01;14,15%;2;40%;0
Agust;0,01;-1,45%;2;40%;0
Gottfrid;0,01;5,61%;2;38%;0
Tyr;0,01;15,19%;1;33%;0
Per;0,01;-22,98%;1;33%;0
Elof;0,01;6,09%;2;25%;0
Frode;0,01;-6,86%;2;20%;0
Magnus;0,01;-16,79%;2;17%;0
Odd;0,01;15,47%;1;0%;0
Georg;0,01;2,22%;2;0%;0
William;1;-2,44%;3;14%;1
Hugo;0,83;-5,14%;2;0%;1
Elias;0,81;-6,89%;3;20%;1
Liam;0,8;1,79%;2;0%;1
Alexander;0,76;-5,21%;4;11%;1
Oliver;0,71;-1,84%;3;0%;1
Axel;0,66;-5,00%;2;25%;1
Leo;0,66;-5,43%;2;0%;1
Charlie;0,64;4,01%;3;14%;1
Oscar;0,61;-2,22%;2;40%;1
Vincent;0,6;-2,39%;2;29%;1
Lucas;0,58;-4,30%;2;40%;1
Adam;0,54;3,82%;2;0%;1
Theo;0,52;-9,06%;2;25%;1
Noah;0,52;5,72%;2;0%;1
Elliot;0,46;1,69%;3;17%;1
Benjamin;0,46;-0,65%;3;0%;1
Max;0,45;-11,81%;1;33%;1
Leon;0,43;3,66%;2;0%;1
Adrian;0,42;11,70%;3;0%;1
Ludvig;0,42;-2,70%;2;0%;1
Isak;0,4;-8,09%;2;50%;1
Lukas;0,4;-6,83%;2;40%;1
Edvin;0,4;-6,06%;2;0%;1
Gabriel;0,38;-1,57%;3;0%;1
Harry;0,35;17,01%;2;0%;1
Kevin;0,34;-11,08%;2;20%;1
Noel;0,34;-5,57%;2;0%;1
Simon;0,33;-17,15%;2;20%;1
Felix;0,32;-9,65%;2;40%;1
Theodor;0,32;0,66%;3;14%;1
Jack;0,3;1,70%;1;50%;1
Milo;0,3;-4,19%;2;0%;1
August;0,27;14,74%;3;33%;1
Jonathan;0,27;-13,55%;3;13%;1
Love;0,27;1,02%;2;0%;1
Sebastian;0,26;-12,71%;4;33%;1
Victor;0,26;-8,74%;2;33%;1
Samuel;0,25;-6,13%;3;17%;1
Casper;0,24;-5,16%;2;50%;1
Sam;0,24;12,65%;1;33%;1
Wilmer;0,24;-10,04%;2;17%;1
David;0,24;-11,09%;2;0%;1
Frank;0,23;16,17%;1;40%;1
Elton;0,23;8,88%;2;20%;1
Valter;0,23;10,78%;2;17%;1
Milton;0,23;5,20%;2;17%;1
Joel;0,23;-10,10%;2;0%;1
Philip;0,22;-0,96%;2;33%;1
Neo;0,22;-15,78%;2;0%;1
Carl;0,21;-7,74%;1;25%;1
Otto;0,2;10,21%;2;50%;1
Elis;0,2;2,38%;2;25%;1
Daniel;0,2;-4,35%;3;0%;1
Ludwig;0,19;2,82%;2;17%;1
John;0,19;2,62%;1;0%;1
Alex;0,18;-10,24%;2;25%;1
Vilgot;0,18;-2,76%;2;17%;1
Walter;0,17;17,44%;2;33%;1
Jacob;0,17;-6,13%;2;20%;1
Julian;0,17;10,67%;3;0%;1
Colin;0,16;17,05%;2;20%;1
Maximilian;0,16;-0,43%;5;10%;1
Eddie;0,16;-4,15%;3;0%;1
Tim;0,15;-17,31%;1;33%;1
Edwin;0,15;-3,10%;2;20%;1
Mio;0,15;-1,99%;2;0%;1
Jakob;0,14;-10,56%;2;20%;1
Melwin;0,14;4,08%;2;17%;1
Elvin;0,14;6,95%;2;0%;1
Josef;0,13;-1,27%;2;40%;1
Dante;0,13;-1,15%;2;20%;1
Robin;0,13;-22,14%;2;0%;1
Isac;0,12;-9,61%;2;50%;1
Karl;0,12;-6,24%;1;25%;1
Wille;0,12;-6,47%;2;20%;1
Julius;0,12;2,16%;3;17%;1
Aron;0,12;4,53%;2;0%;1
Kian;0,11;23,56%;2;25%;1
Eric;0,11;-18,44%;2;25%;1
Fabian;0,11;-15,77%;3;17%;1
Loui;0,11;36,12%;3;0%;1
Levi;0,11;8,10%;2;0%;1
Ted;0,1;4,19%;1;33%;1
Albert;0,1;-0,31%;2;17%;1
Edward;0,1;4,29%;2;17%;1
Ruben;0,1;-4,63%;2;0%;1
Kasper;0,09;-9,97%;2;50%;1
Aston;0,09;13,69%;2;40%;1
Alfons;0,09;-8,48%;2;33%;1
Lowe;0,09;8,25%;2;25%;1
Oliwer;0,09;4,39%;3;17%;1
Douglas;0,09;-6,30%;3;14%;1
Jamie;0,09;13,85%;3;0%;1
Emilio;0,09;3,44%;4;0%;1
Emanuel;0,09;1,27%;4;0%;1
Herman;0,09;-3,67%;2;0%;1
Caspian;0,08;0,84%;3;43%;1
Tristan;0,08;-1,79%;2;43%;1
Marcus;0,08;-17,26%;2;33%;1
Thor;0,08;16,18%;1;25%;1
Fred;0,08;11,24%;1;25%;1
Teodor;0,08;-0,63%;3;17%;1
Martin;0,08;-13,61%;2;17%;1
Louie;0,08;34,26%;4;0%;1
Milian;0,08;25,47%;3;0%;1
Elmer;0,08;1,81%;2;0%;1
Matteo;0,07;19,74%;3;33%;1
Christian;0,07;-2,77%;3;33%;1
Teo;0,07;-9,49%;2;33%;1
Matheo;0,07;28,24%;3;17%;1
Theodore;0,07;12,40%;4;13%;1
Abbe;0,07;14,08%;2;0%;1
Noa;0,07;-2,38%;2;0%;1
Mattias;0,06;-8,97%;3;43%;1
Dexter;0,06;-8,71%;2;33%;1
Elliott;0,06;5,35%;3;29%;1
Jason;0,06;16,65%;2;20%;1
James;0,06;8,81%;2;20%;1
Jonas;0,06;-10,38%;2;20%;1
Dennis;0,06;-19,67%;2;17%;1
Rayan;0,06;15,80%;3;0%;1
Aaron;0,06;12,07%;3;0%;1
Lionel;0,06;10,73%;3;0%;1
Leonard;0,06;5,49%;3;0%;1
Ivan;0,06;-0,38%;2;0%;1
